fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
79,881,49.0985,10.0979,423,Crailsheim-Alexandersreut Baden-Württemberg,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
97,1197,48.9895,10.1312,463,Ellwangen-Rindelbach Baden-Württemberg,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
159,2088,48.6849,10.142,522,Heidenheim/Brenz Baden-Württemberg,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
421,5654,49.2178,10.2296,464,Wörnitz-Bottenweiler Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
294,3621,48.8253,10.5067,435,Reimlingen Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
157,2023,48.7918,10.7062,501,Harburg Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
189,2488,48.7701,10.7876,516,Kaisheim-Neuhof Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
407,5440,49.0115,10.9308,439,Weißenburg-Emetzheim Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
94,1161,48.8778,11.2349,385,Eichstätt-Landershofen Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
122,1473,49.1869,11.308,414,Freystadt-Michelbach Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
133,1587,48.9481,11.4289,536,Gelbelsee Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
208,2700,48.8302,11.4872,416,Kösching Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
318,3975,49.4777,11.5357,522,Pommelsbrunn-Mittelburg Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
443,6158,49.2249,10.6085,454,Weidenbach-Weiherschneidbach Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
449,6219,48.8768,11.1043,394,Dollnstein-Breitenfurt Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
462,7319,48.7374,10.7393,435,Donauwörth-Osterweiler Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
465,7331,48.6099,10.2674,467,Hermaringen-Allewind Baden-Württemberg,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
470,7369,49.1623,10.3661,475,Feuchtwangen-Heilbronn Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
406,5434,50.0858,11.2364,317,Weismain Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
188,2485,48.917,9.6871,489,Kaisersbach-Cronhütte Baden-Württemberg,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
311,3875,49.151,11.6897,549,Parsberg/Oberpfalz-Eglwang Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
213,2773,49.4283,11.9016,416,Kümmersbruck Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
359,4592,49.3278,12.0871,356,Schwandorf Bayern,Frei,53,114,Albflächen und Ostbayerisches Hügelland 
316,3927,47.9345,9.2869,630,Pfullendorf Baden-Württemberg,Frei,56,115,Tertiär-Hügelland Donau-Süd 
334,4189,48.1479,9.4596,534,"Altheim, Kreis Biberach Baden-Württemberg",Frei,56,115,Tertiär-Hügelland Donau-Süd 
459,7135,47.9655,9.6804,565,Aulendorf-Haslach Baden-Württemberg,Frei,56,115,Tertiär-Hügelland Donau-Süd 
219,2829,48.0772,10.9144,617,Landsberg (Flugplatz) Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
272,3390,48.1369,11.7094,529,München-Riem Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
271,3379,48.1632,11.5429,515,München-Stadt Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
224,2905,48.1849,10.8507,550,Lechfeld Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
223,2886,48.2175,9.9097,539,Laupheim Baden-Württemberg,Frei,56,115,Tertiär-Hügelland Donau-Süd 
249,3139,48.2166,11.2965,509,Maisach-Gernlinden Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
302,3722,48.2443,11.5528,484,Oberschleißheim Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
278,3485,48.3114,10.3773,487,Neuburg/Kammel-Langenhaslach Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
102,1262,48.3477,11.8134,446,München-Flughafen Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
21,232,48.4253,10.9417,462,Augsburg Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
390,5155,48.3837,9.9524,567,Ulm Baden-Württemberg,Frei,56,115,Tertiär-Hügelland Donau-Süd 
401,5404,48.4024,11.6946,477,Weihenstephan-Dürnast Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
492,15444,48.4418,9.9216,593,Ulm-Mähringen Baden-Württemberg,Frei,56,115,Tertiär-Hügelland Donau-Süd 
277,3484,48.7085,11.2147,379,Neuburg an der Donau Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
207,2691,48.6707,11.2173,378,Königsmoos-Untermaxfeld Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
193,2521,48.6725,11.3092,376,Karlshuld Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
179,2410,48.7111,11.5363,364,Ingolstadt-Manching Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
177,2360,48.6018,11.6769,438,Hüll Bayern,Frei,56,115,Tertiär-Hügelland Donau-Süd 
