fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
1380,20007,50.8422,12.877,332,Chemnitz-Altendorf Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
453,2160,50.8444,10.6904,360,Herrenhof Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1077,5335,50.8963,10.5483,352,Waltershausen Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
713,3370,51.2076,10.3956,300,Mühlhausen Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1242,6305,51.2061,10.4978,194,Mühlhausen/Thüringen-Görmar Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
288,1270,50.9827,10.9613,317,Erfurt-Weimar Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
318,1410,51.3512,11.0958,140,"Frankenhausen, Bad/Kyffhäuser Thüringen",Frei,46,108,Lößböden in den Übergangslagen (Ost) 
84,379,50.9075,11.2665,304,"Berka, Bad (Flugplatz) Thüringen",Frei,46,108,Lößböden in den Übergangslagen (Ost) 
479,2302,50.9632,11.4847,317,Hohlstedt-Kötschau Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
510,2444,50.9251,11.583,155,Jena (Sternwarte) Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
799,3821,51.0872,11.9293,244,Osterfeld Sachsen-Anhalt,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
975,4748,51.3691,10.88,185,Sondershausen Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1005,4963,51.4667,10.8,175,Sundhausen Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1091,5419,50.9751,11.3076,264,Weimar Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1092,5424,51.0177,11.3544,328,Weimar-Schöndorf Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1371,19774,51.4814,10.8057,174,Nordhausen (Umspannwerk) Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
236,1047,51.0557,13.7274,112,Dresden (Mitte) Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
237,1048,51.1278,13.7543,228,Dresden-Klotzsche Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
239,1051,51.0249,13.775,119,Dresden-Strehlen Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
238,1050,51.0221,13.847,112,Dresden-Hosterwitz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
529,2506,51.2667,14.0833,270,Kamenz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
67,314,51.1604,14.5042,234,"Kubschütz, Kr. Bautzen Sachsen",Frei,46,108,Lößböden in den Übergangslagen (Ost) 
454,2166,51.0167,14.75,344,Herrnhut Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
375,1684,51.1621,14.9506,239,Görlitz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
793,3788,50.8646,14.7628,305,Olbersdorf Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1065,5282,51.1188,13.6754,241,Wahnsdorf bei Dresden Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1157,5781,50.8849,14.8112,235,Zittau Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1200,6129,51.0594,14.4266,291,Sohland/Spree Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
